name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cl_minmax
Morning Has Broken,Yusuf / Cat Stevens,0.424,0.321,-13.162,0.0312,0.622,0.0196,0.0903,0.405,133.126,3
Still The Same,Bob Seger,0.709,0.767,-6.732,0.0283,0.405,0.000172,0.0592,0.557,115.64,2
Fernando,ABBA,0.354,0.535,-8.876,0.0303,0.627,2.9e-06,0.0808,0.434,110.821,3
Here You Come Again,Dolly Parton,0.585,0.511,-9.37,0.0391,0.647,0.007,0.0392,0.552,105.898,3
Sir Duke,Stevie Wonder,0.588,0.568,-9.766,0.0672,0.16,0.0,0.0792,0.952,106.938,2
I Want You to Want Me,Cheap Trick,0.806,0.462,-12.778,0.0298,0.78,0.0134,0.15,0.736,92.726,3
Never Going Back Again - 2004 Remaster,Fleetwood Mac,0.654,0.336,-12.825,0.0379,0.858,0.385,0.0786,0.947,176.083,3
"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.811,0.545,-12.969,0.0579,0.155,0.0853,0.156,0.734,105.911,2
Kiss You All Over,Exile,0.741,0.267,-17.204,0.0285,0.253,0.000447,0.0987,0.497,102.428,2
I Shot The Sheriff,Eric Clapton,0.73,0.639,-11.025,0.0524,0.0853,0.00221,0.102,0.658,94.395,2
Rock the Boat,Hues Corporation,0.622,0.707,-8.826,0.0717,0.0641,0.0,0.0638,0.725,107.352,2
Superstition,Stevie Wonder,0.611,0.578,-14.171,0.0676,0.0598,0.0219,0.0983,0.884,100.625,2
Have You Ever Seen The Rain,Creedence Clearwater Revival,0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,2
I Saw the Light - 2015 Remaster,Todd Rundgren,0.504,0.673,-11.834,0.0336,0.214,2.29e-06,0.171,0.581,120.418,0
Lean on Me,Bill Withers,0.619,0.22,-13.843,0.0672,0.782,1.19e-05,0.124,0.426,75.143,3
Right Down the Line,Gerry Rafferty,0.783,0.322,-15.091,0.0343,0.213,0.00243,0.114,0.77,128.226,2
Get It On,T. Rex,0.728,0.878,-6.926,0.0564,0.176,0.856,0.61,0.911,126.59,2
I Don't Like Mondays,The Boomtown Rats,0.464,0.46,-6.874,0.0393,0.717,0.0,0.151,0.476,143.603,3
Knockin' On Heaven's Door,Bob Dylan,0.513,0.396,-13.061,0.0299,0.251,0.177,0.11,0.229,140.208,0
Do It Again,Steely Dan,0.682,0.537,-10.254,0.0323,0.218,3.07e-05,0.0556,0.963,124.574,2
Jolene,Dolly Parton,0.674,0.537,-10.971,0.0363,0.566,0.0,0.131,0.809,110.578,2
Heroes - 2017 Remaster,David Bowie,0.49,0.758,-6.491,0.0297,0.000671,0.484,0.092,0.435,112.114,0
My Sharona,The Knack,0.586,0.7,-9.558,0.0363,0.0589,0.00125,0.0318,0.897,147.245,2
Waterloo,ABBA,0.445,0.949,-4.682,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,2
The Logical Song - Remastered 2010,Supertramp,0.625,0.758,-6.213,0.0463,0.512,0.00022,0.153,0.695,119.719,2
Walk On the Wild Side,Lou Reed,0.575,0.318,-16.729,0.109,0.683,0.000202,0.0934,0.385,104.522,3
Reelin' In The Years,Steely Dan,0.523,0.758,-9.81,0.0403,0.133,0.0,0.0952,0.766,135.437,2
Heart of Gold - 2009 Remaster,Neil Young,0.541,0.459,-10.433,0.0297,0.189,0.0274,0.099,0.803,171.165,2
You Make Me Feel Like Dancing - Remastered,Leo Sayer,0.728,0.718,-5.281,0.0501,0.0848,0.0,0.0579,0.733,95.922,2
Landslide,Fleetwood Mac,0.414,0.161,-22.32,0.0318,0.883,0.000223,0.117,0.423,159.375,3
Brown Sugar - 2009 Remaster,The Rolling Stones,0.633,0.934,-3.594,0.0344,0.219,0.00021,0.0592,0.963,128.606,2
I Will Always Love You,Dolly Parton,0.446,0.142,-13.498,0.0335,0.96,0.00114,0.101,0.156,135.724,3
"You're The First, The Last, My Everything - Edit",Barry White,0.631,0.59,-12.138,0.0297,0.00367,0.00299,0.0537,0.927,130.145,2
Your Smiling Face,James Taylor,0.682,0.509,-11.887,0.0784,0.146,5.02e-06,0.0886,0.605,88.934,2
"The Harder They Come - From ""The Harder They Come"" Soundtrack",Jimmy Cliff,0.679,0.575,-8.037,0.0717,0.632,0.0,0.165,0.79,102.588,2
Please Mr. Postman,Carpenters,0.669,0.514,-11.503,0.0293,0.157,6.97e-06,0.095,0.966,132.955,2
Don't Bring Me Down,Electric Light Orchestra,0.638,0.867,-6.469,0.0331,0.144,0.000733,0.0846,0.805,115.692,2
Always On My Mind,Elvis Presley,0.358,0.387,-14.342,0.0324,0.746,0.0121,0.119,0.495,181.183,3
Wild Horses - 2009 Mix,The Rolling Stones,0.432,0.389,-6.517,0.0255,0.687,0.0107,0.0788,0.158,139.506,3
Don't It Make My Brown Eyes Blue,Crystal Gayle,0.675,0.49,-7.818,0.0395,0.714,0.000313,0.113,0.353,84.409,3
Love Train,The O'Jays,0.743,0.572,-9.627,0.0493,0.186,1.44e-05,0.163,0.675,122.658,2
You Can Get It If You Really Want,Jimmy Cliff,0.894,0.559,-8.547,0.0568,0.248,0.0,0.0762,0.929,128.164,2
I Don't Want to Talk About It - 2008 Remaster,Rod Stewart,0.472,0.373,-12.98,0.0262,0.872,0.206,0.147,0.459,135.193,3
Top Of The World,Carpenters,0.379,0.343,-12.993,0.0385,0.806,0.0,0.0991,0.694,184.301,3
What's Going On,Marvin Gaye,0.265,0.824,-5.654,0.0991,0.0991,0.0,0.359,0.811,203.206,0
Sultans Of Swing,Dire Straits,0.733,0.794,-10.023,0.0307,0.0614,0.0367,0.33,0.931,148.174,2
My Sweet Lord - 2020 Mix,George Harrison,0.539,0.74,-7.874,0.0298,0.169,0.0,0.128,0.688,120.853,2
Stumblin' In - 2017 Remaster,Suzi Quatro,0.761,0.723,-10.549,0.0313,0.126,0.000292,0.345,0.923,129.269,2
Dancing In The Moonlight (It's Caught Me In It's Spotlight),Thin Lizzy,0.671,0.461,-13.874,0.13,0.00755,0.0,0.103,0.784,145.187,2
Dirty Work,Steely Dan,0.631,0.354,-11.112,0.0313,0.795,0.000107,0.0879,0.522,73.007,3
Because the Night,Patti Smith,0.466,0.763,-7.748,0.0391,0.0542,0.0,0.119,0.473,123.539,0
Son of a Preacher Man,Aretha Franklin,0.474,0.473,-11.454,0.0601,0.545,1.25e-06,0.0356,0.561,77.583,3
We Can Work It Out,Stevie Wonder,0.619,0.574,-9.775,0.0328,0.0805,0.0,0.0948,0.766,105.35,2
Love Is In The Air,John Paul Young,0.557,0.791,-7.201,0.0389,0.0254,0.000264,0.0605,0.895,122.34,2
Rebel Rebel - 2016 Remaster,David Bowie,0.635,0.686,-15.648,0.053,0.209,0.0176,0.282,0.464,125.988,0
Summer Breeze,Seals and Crofts,0.49,0.581,-6.566,0.0388,0.553,0.0177,0.0764,0.318,88.718,3
Roxanne - Remastered 2003,The Police,0.618,0.748,-8.905,0.361,0.0384,4.1e-06,0.0477,0.662,134.001,2
A Horse with No Name,America,0.654,0.506,-17.18,0.0535,0.686,0.0155,0.155,0.831,123.179,2
New York Groove,Ace Frehley,0.826,0.608,-8.442,0.162,0.61,0.000164,0.116,0.846,95.085,2
We Are Family,Sister Sledge,0.784,0.893,-5.153,0.0923,0.3,1.57e-05,0.272,0.819,118.738,2
Isn't She Lovely,Stevie Wonder,0.481,0.826,-6.974,0.0851,0.182,0.00352,0.324,0.819,118.679,2
The Rose,Bette Midler,0.347,0.228,-9.667,0.0296,0.901,0.0,0.38,0.184,133.574,3
Sailing,Rod Stewart,0.43,0.374,-9.949,0.0292,0.372,0.379,0.316,0.191,128.56,0
Dreams - 2004 Remaster,Fleetwood Mac,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,2
Are You Ready For Love? - Remastered,Elton John,0.803,0.748,-5.221,0.0314,0.254,0.00212,0.113,0.752,116.532,2
One of These Nights - 2013 Remaster,Eagles,0.655,0.606,-10.385,0.0285,0.0603,0.0789,0.0757,0.765,110.061,2
Let's Stay Together,Al Green,0.756,0.397,-10.701,0.0522,0.57,0.0115,0.0542,0.507,101.985,3
The Joker,Steve Miller Band,0.596,0.448,-9.616,0.0396,0.365,5.3e-06,0.206,0.796,83.293,2
Love Really Hurts Without You,Billy Ocean,0.518,0.907,-3.732,0.0343,0.00221,1.15e-05,0.0838,0.961,140.982,2
I'd Really Love to See You Tonight - 2012 Remaster,England Dan & John Ford Coley,0.578,0.767,-4.654,0.0314,0.195,0.0,0.168,0.666,118.938,2
Laughter In The Rain,Neil Sedaka,0.495,0.613,-9.463,0.0239,0.348,0.0058,0.0406,0.924,100.535,2
Grease - 2007 Remaster,Frankie Valli,0.82,0.464,-8.45,0.0481,0.156,0.0,0.101,0.872,109.374,2
Beast Of Burden - Remastered 1994,The Rolling Stones,0.783,0.878,-3.864,0.0308,0.39,0.000778,0.0426,0.885,100.626,2
Closer,The Chainsmokers,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,2
Sorry,Justin Bieber,0.665,0.759,-3.694,0.0399,0.0767,0.0,0.313,0.389,99.992,0
Thinking out Loud,Ed Sheeran,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,2
Congratulations,Post Malone,0.63,0.804,-4.183,0.0363,0.215,0.0,0.253,0.492,123.146,0
Just the Way You Are,Bruno Mars,0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,0
Someone Like You,Adele,0.554,0.321,-8.251,0.028,0.893,0.0,0.0996,0.288,135.047,3
One Last Time,Ariana Grande,0.628,0.593,-5.036,0.0323,0.093,1.65e-06,0.096,0.104,125.026,0
Wake Me Up,Avicii,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0
bad guy,Billie Eilish,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,2
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,0.258,0.631,-6.617,0.0541,0.281,0.0,0.127,0.266,189.583,0
Wildest Dreams,Taylor Swift,0.553,0.664,-7.417,0.0741,0.0709,0.0056,0.106,0.467,140.06,0
Story of My Life,One Direction,0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,0
Treat You Better,Shawn Mendes,0.444,0.819,-4.078,0.341,0.106,0.0,0.107,0.747,82.695,2
Scars To Your Beautiful,Alessia Cara,0.319,0.739,-5.74,0.272,0.0285,0.0,0.111,0.449,194.169,0
The One That Got Away,Katy Perry,0.691,0.795,-4.021,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,2
Symphony (feat. Zara Larsson),Clean Bandit,0.707,0.629,-4.581,0.0563,0.259,1.6e-05,0.138,0.457,122.863,0
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,3
Blank Space,Taylor Swift,0.752,0.678,-5.421,0.0646,0.085,1.64e-06,0.13,0.583,96.009,2
Stitches,Shawn Mendes,0.746,0.754,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,2
Heart Attack,Demi Lovato,0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,0
Payphone,Maroon 5,0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,0
What Makes You Beautiful,One Direction,0.688,0.806,-2.628,0.0921,0.0102,0.0,0.104,0.85,125.006,2
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,-6.593,0.039,0.101,1.27e-06,0.106,0.0967,180.043,0
There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8,-4.035,0.0583,0.381,0.0,0.0913,0.966,121.996,2
Talking to the Moon,Bruno Mars,0.498,0.59,-4.721,0.032,0.511,0.0,0.107,0.0784,145.867,0
Like I Can,Sam Smith,0.681,0.627,-5.456,0.0403,0.499,1.25e-06,0.123,0.494,99.908,2
Drag Me Down,One Direction,0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,2
Maps,Maroon 5,0.741,0.715,-5.497,0.0293,0.0141,0.0,0.0576,0.847,120.032,2
I Knew You Were Trouble,Taylor Swift,0.602,0.465,-6.762,0.0367,0.00572,5.34e-06,0.033,0.664,154.076,2
Love Yourself,Justin Bieber,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,3
Shower,Becky G,0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,0
Rude,MAGIC!,0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,2
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.654,0.63,-4.644,0.0259,0.153,0.0,0.111,0.43,89.991,0
If I Can't Have You,Shawn Mendes,0.692,0.809,-4.198,0.0602,0.524,0.0,0.147,0.864,123.911,2
Mirrors,Justin Timberlake,0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,2
Say You Won't Let Go,James Arthur,0.4,0.564,-7.444,0.0523,0.693,0.0,0.0863,0.483,99.269,3
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0.646,0.795,-3.293,0.0976,0.0319,0.0,0.267,0.796,89.99,2
Memories,Maroon 5,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,3
Set Fire to the Rain,Adele,0.61,0.683,-3.879,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,0
Classic,MKTO,0.72,0.791,-4.689,0.124,0.0384,0.0,0.157,0.756,102.071,2
Youngblood,5 Seconds of Summer,0.596,0.854,-5.114,0.463,0.0169,0.0,0.124,0.152,120.274,0
Locked Away (feat. Adam Levine),R. City,0.509,0.671,-5.709,0.0678,0.304,0.0,0.0452,0.55,118.413,2
Mercy,Shawn Mendes,0.555,0.662,-4.952,0.0827,0.125,0.0,0.111,0.356,148.128,0
Attention,Charlie Puth,0.774,0.626,-4.432,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,2
Photograph,Ed Sheeran,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,3
Shout Out to My Ex,Little Mix,0.773,0.747,-4.061,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,2
The Middle,Zedd,0.753,0.657,-3.061,0.0449,0.171,0.0,0.112,0.437,107.01,0
Sugar,Maroon 5,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,0.458,0.623,-7.109,0.0505,0.322,5.08e-06,0.11,0.417,147.635,0
She Looks So Perfect,5 Seconds of Summer,0.494,0.951,-4.237,0.132,0.000569,0.0,0.327,0.441,160.025,0
Grenade,Bruno Mars,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,0
Counting Stars,OneRepublic,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.118,0.477,122.016,0
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,-5.041,0.0442,0.0912,0.0,0.0894,0.842,101.956,2
Black Magic,Little Mix,0.775,0.885,-5.023,0.061,0.033,0.0,0.312,0.82,111.997,2
Animals,Maroon 5,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,0
Wolves,Selena Gomez,0.724,0.804,-4.614,0.0448,0.124,0.0,0.204,0.306,124.987,0
IDGAF,Dua Lipa,0.836,0.544,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028,2
Adore You,Harry Styles,0.676,0.771,-3.675,0.0483,0.0237,7e-06,0.102,0.569,99.048,2
Last Friday Night (T.G.I.F.),Katy Perry,0.649,0.815,-3.796,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,2
Señorita,Shawn Mendes,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,2
Sucker,Jonas Brothers,0.842,0.734,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,2
Someone You Loved,Lewis Capaldi,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,3
Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.648,-8.113,0.187,0.124,0.0,0.0802,0.548,92.977,2
Too Good At Goodbyes,Sam Smith,0.681,0.372,-8.237,0.0432,0.64,0.0,0.169,0.476,91.873,3
We Are Never Ever Getting Back Together,Taylor Swift,0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,2
Something Just Like This,The Chainsmokers,0.607,0.649,-6.695,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,0
Fight Song,Rachel Platten,0.564,0.714,-4.987,0.129,0.0549,0.0,0.155,0.33,175.924,0
"thank u, next",Ariana Grande,0.717,0.653,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966,0
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,0.735,0.451,-8.374,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,0
Perfect,Ed Sheeran,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,0
When We Were Young,Adele,0.377,0.595,-5.936,0.0489,0.303,0.0,0.095,0.264,144.464,0
One Call Away,Charlie Puth,0.667,0.613,-5.353,0.0344,0.403,0.0,0.115,0.47,91.024,2
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,0.631,0.531,-7.26,0.0433,0.399,0.0,0.177,0.418,108.038,0
Never Really Over,Katy Perry,0.77,0.882,-4.792,0.0602,0.194,0.0,0.316,0.385,99.991,0
Without Me,Halsey,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,2
Happier,Ed Sheeran,0.522,0.385,-7.355,0.0288,0.536,0.0,0.135,0.236,89.792,3
Stronger (What Doesn't Kill You),Kelly Clarkson,0.562,0.939,-4.282,0.0475,0.046,0.0,0.112,0.684,116.044,2
All of Me,John Legend,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,3
Call Me Maybe,Carly Rae Jepsen,0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,2
The Nights,Avicii,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,0
New Rules,Dua Lipa,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,2
Let Me Love You,DJ Snake,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,0
Dear Future Husband,Meghan Trainor,0.657,0.776,-4.964,0.154,0.366,0.0,0.277,0.84,79.477,2
Shape of You,Ed Sheeran,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,2
YOUTH,Troye Sivan,0.627,0.749,-4.453,0.0415,0.0526,0.0,0.0763,0.608,91.522,2
Bad Blood,Taylor Swift,0.652,0.802,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,0
Locked out of Heaven,Bruno Mars,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,2
I Really Like You,Carly Rae Jepsen,0.624,0.819,-4.697,0.0416,0.00575,0.000105,0.256,0.545,122.064,0
In My Blood,Shawn Mendes,0.622,0.712,-7.321,0.066,0.0573,0.0,0.13,0.487,140.025,0
Lush Life,Zara Larsson,0.694,0.712,-3.923,0.046,0.132,0.0,0.211,0.799,98.023,2
Domino,Jessie J,0.75,0.608,-4.076,0.0439,0.0228,3.76e-06,0.056,0.842,127.023,2
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,0.61,0.83,-4.105,0.0571,0.033,0.0,0.118,0.728,182.162,2
Galway Girl,Ed Sheeran,0.624,0.876,-3.374,0.1,0.0735,0.0,0.327,0.781,99.943,2
Firework,Katy Perry,0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,2
When I Was Your Man,Bruno Mars,0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,3
What Do You Mean?,Justin Bieber,0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,2
Rolling in the Deep,Adele,0.73,0.77,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,2
Into You,Ariana Grande,0.623,0.734,-5.948,0.107,0.0162,1.75e-06,0.145,0.37,107.853,0
PILLOWTALK,ZAYN,0.584,0.7,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944,0
Paris,The Chainsmokers,0.653,0.658,-6.428,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,0
Glad You Came,The Wanted,0.722,0.851,-3.873,0.0639,0.0319,0.0,0.108,0.452,126.885,0
If the World Was Ending (feat. Julia Michaels),JP Saxe,0.464,0.473,-10.086,0.129,0.866,0.0,0.109,0.604,75.801,3
Scared to Be Lonely,Martin Garrix,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,0
Send My Love (To Your New Lover),Adele,0.688,0.532,-8.361,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,0
"How Far I'll Go - From ""Vaiana""",Alessia Cara,0.309,0.544,-9.621,0.352,0.155,0.000265,0.0727,0.16,180.979,0
Shut Up and Dance,WALK THE MOON,0.576,0.876,-3.82,0.0641,0.00651,1.25e-06,0.271,0.613,128.04,0
Roar,Katy Perry,0.671,0.771,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,0
Castle on the Hill,Ed Sheeran,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,0
Let Me Down Slowly,Alec Benjamin,0.652,0.557,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073,3
7 rings,Ariana Grande,0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,3
Perfect Strangers,Jonas Blue,0.742,0.819,-5.307,0.0487,0.372,0.0,0.277,0.709,117.986,2
Please Don't Go,Joel Adams,0.513,0.768,-4.868,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,0
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,2
All I Ask,Adele,0.592,0.28,-5.494,0.0283,0.889,0.0,0.124,0.348,141.899,3
Stay,Zedd,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04,2
no tears left to cry,Ariana Grande,0.699,0.713,-5.507,0.0594,0.04,3.11e-06,0.294,0.354,121.993,0
i'm so tired...,Lauv,0.599,0.733,-7.058,0.203,0.176,0.0,0.242,0.534,102.211,0
Just Give Me a Reason,P!nk,0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,2
In the Name of Love,Martin Garrix,0.501,0.519,-5.88,0.0409,0.109,0.0,0.454,0.168,133.99,0
Stay With Me,Sam Smith,0.5,0.418,-6.535,0.0377,0.566,0.000193,0.11,0.176,84.899,3
It Ain't Me (with Selena Gomez),Kygo,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,2
Cold (feat. Future),Maroon 5,0.697,0.716,-6.288,0.113,0.118,0.0,0.0424,0.506,99.905,2
Chandelier,Sia,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,0
Mama,Jonas Blue,0.737,0.792,-4.117,0.0416,0.102,0.0,0.0532,0.543,104.012,2
Starving,Hailee Steinfeld,0.668,0.613,-4.225,0.102,0.414,0.0,0.102,0.498,99.852,2
Teenage Dream,Katy Perry,0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,2
How Do You Sleep?,Sam Smith,0.477,0.682,-4.931,0.0925,0.153,0.0,0.0763,0.345,110.567,0
Shallow - Radio Edit,Lady Gaga,0.575,0.33,-6.557,0.031,0.416,0.0,0.0872,0.277,95.801,3
What Lovers Do (feat. SZA),Maroon 5,0.799,0.597,-5.131,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,0
Good Time,Owl City,0.567,0.887,-4.253,0.128,0.0295,6.38e-06,0.297,0.654,126.057,0
Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943,0
Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,-7.513,0.0656,0.45,1.97e-06,0.222,0.347,102.998,0
Never Forget You,Zara Larsson,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,0
No Promises (feat. Demi Lovato),Cheat Codes,0.741,0.667,-5.445,0.134,0.0575,0.0,0.106,0.595,112.956,2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.72,0.763,-4.068,0.0523,0.406,0.0,0.18,0.742,101.965,2
Wrecking Ball,Miley Cyrus,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,3
Diamonds,Rihanna,0.564,0.71,-4.92,0.0461,0.00125,0.0,0.109,0.393,91.972,0
2U (feat. Justin Bieber),David Guetta,0.548,0.65,-5.827,0.0591,0.219,0.0,0.225,0.557,144.937,0
A Sky Full of Stars,Coldplay,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,0
Bang Bang,Jessie J,0.703,0.747,-4.446,0.0895,0.283,0.0,0.396,0.7,149.974,2
Love Someone,Lukas Graham,0.538,0.409,-6.581,0.0505,0.172,0.0,0.11,0.265,171.838,0
Cheap Thrills,Sia,0.628,0.698,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,2
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.803,0.585,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,2
Girl on Fire,Alicia Keys,0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,0
That's What I Like,Bruno Mars,0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,2
7 Years,Lukas Graham,0.742,0.479,-5.83,0.0551,0.29,0.0,0.391,0.346,119.951,0
How Long,Charlie Puth,0.845,0.561,-5.253,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,2
Sweet but Psycho,Ava Max,0.719,0.704,-4.724,0.0476,0.0691,0.0,0.166,0.628,133.002,2
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,-6.458,0.0856,0.047,0.0,0.083,0.579,154.084,0
Superheroes,The Script,0.49,0.885,-4.121,0.0396,0.00218,0.0,0.0741,0.64,166.996,0
Poppin' Them Thangs,G-Unit,0.768,0.806,-1.406,0.195,0.261,0.0,0.0785,0.927,88.024,2
Still D.R.E.,Dr. Dre,0.814,0.779,-3.271,0.235,0.175,0.000671,0.0605,0.544,93.43,2
In Da Club,50 Cent,0.899,0.713,-2.752,0.366,0.255,0.0,0.0708,0.777,90.051,2
Insane in the Brain,Cypress Hill,0.897,0.611,-10.489,0.211,0.0291,0.186,0.0894,0.769,102.304,2
Express Yourself - Remix,N.W.A.,0.852,0.803,-6.929,0.264,0.00204,0.0,0.121,0.752,96.2,2
Scenario - LP Mix,A Tribe Called Quest,0.795,0.6,-14.004,0.341,0.112,0.000171,0.111,0.633,101.78,2
Get into It,Tony Scott,0.791,0.851,-8.362,0.0519,0.0191,0.0,0.331,0.877,121.911,2
Party Up,DMX,0.51,0.931,-3.302,0.347,0.0738,0.0,0.5,0.53,201.936,0
Milkshake,Kelis,0.881,0.774,-6.068,0.0439,0.00986,0.0346,0.206,0.759,112.968,2
Bow Down,Westside Connection,0.896,0.541,-8.253,0.281,0.00818,0.0,0.278,0.481,92.899,2
REMIND ME,Rilès,0.843,0.715,-5.553,0.218,0.0361,0.0,0.0754,0.54,90.966,2
What's The Difference,Dr. Dre,0.782,0.819,-0.158,0.251,0.252,0.0,0.133,0.725,91.824,2
Got It,Boys Noize,0.462,0.847,-6.85,0.518,0.0289,0.0,0.398,0.66,184.084,0
