name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cl_minmax
Roll Over Beethoven,Chuck Berry,0.713,0.793,-10.138,0.21,0.81,0.0,0.198,0.804,92.713,2
Come Softly To Me,The Fleetwoods,0.601,0.095,-18.478,0.0374,0.93,0.000285,0.116,0.672,122.975,3
Maybe Baby,The Crickets,0.602,0.597,-7.73,0.0303,0.714,0.0,0.0863,0.866,137.001,2
You Send Me,Sam Cooke,0.538,0.226,-13.817,0.0288,0.945,0.0,0.125,0.553,96.951,3
Blue Skies,Ella Fitzgerald,0.464,0.391,-5.115,0.0483,0.892,0.0,0.0521,0.649,158.894,3
Maybellene,Chuck Berry,0.762,0.81,-10.395,0.0818,0.811,0.0,0.139,0.735,117.48,2
Heartbreak Hotel,Elvis Presley,0.696,0.21,-11.922,0.067,0.84,1.62e-06,0.107,0.717,93.543,3
Not Fade Away,Buddy Holly & The Crickets,0.799,0.475,-13.142,0.0413,0.835,0.0,0.275,0.92,95.966,3
Lucille,Little Richard,0.682,0.839,-9.186,0.0466,0.336,0.000571,0.17,0.953,145.051,2
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,0.811,0.859,-6.317,0.168,0.205,3.73e-06,0.0761,0.784,90.686,2
Reet Petite,Jackie Wilson,0.664,0.66,-6.526,0.13,0.447,0.0,0.298,0.873,84.345,2
Buona Sera - Remastered,Louis Prima,0.547,0.3,-13.973,0.107,0.777,0.0,0.0653,0.811,97.793,3
Cheek To Cheek,Ella Fitzgerald,0.648,0.306,-13.395,0.0883,0.588,0.0,0.252,0.661,122.027,3
Move It - 2002 Remaster,Cliff Richard & The Drifters,0.625,0.852,-4.83,0.0341,0.692,0.000487,0.293,0.931,82.142,2
Magic Moments,Perry Como,0.714,0.253,-15.16,0.0433,0.922,4.91e-06,0.173,0.695,104.302,3
Whole Lot of Shakin' Going On,Jerry Lee Lewis,0.377,0.626,-9.662,0.033,0.832,6.46e-05,0.188,0.678,161.468,3
You Make Me Feel So Young - Remastered 1998,Frank Sinatra,0.577,0.306,-11.559,0.0427,0.383,0.0,0.18,0.568,125.166,3
Rock And Roll Music,Chuck Berry,0.524,0.785,-6.118,0.0467,0.44,0.00125,0.0565,0.914,165.799,2
Oh Boy! - Overdubbed Version,Buddy Holly,0.543,0.619,-7.518,0.0377,0.777,0.0,0.109,0.846,96.842,3
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,0.671,0.679,-11.237,0.142,0.159,0.0,0.158,0.82,166.722,2
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,0.607,0.561,-10.099,0.0425,0.421,0.0,0.298,0.841,127.638,2
Just A Gigolo - Remastered,Louis Prima,0.525,0.403,-11.987,0.0945,0.597,0.0,0.0565,0.718,125.187,3
Walkin' After Midnight,Patsy Cline,0.562,0.194,-15.364,0.0448,0.795,0.0,0.322,0.773,135.903,3
Autumn in New York - 2003 Remastered Version,Billie Holiday,0.544,0.132,-11.735,0.0477,0.963,8.59e-05,0.101,0.286,71.178,3
I'm Walkin',Fats Domino,0.729,0.555,-13.056,0.0483,0.678,0.184,0.155,0.979,109.005,2
C’Mon Everybody,Eddie Cochran,0.627,0.7,-9.657,0.0522,0.121,0.0111,0.188,0.856,175.33,2
Jambalaya (On The Bayou),Hank Williams,0.526,0.291,-10.694,0.0346,0.706,0.0,0.0651,0.886,164.02,3
It's All In The Game,Tommy Edwards,0.546,0.167,-16.085,0.0308,0.845,0.0181,0.127,0.628,70.564,3
Chantilly Lace,The Big Bopper,0.489,0.806,-6.054,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,2
Jailhouse Rock,Elvis Presley,0.647,0.582,-9.538,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,2
"The Theme From ""A Summer Place""",Percy Faith,0.311,0.455,-10.15,0.0311,0.27,0.919,0.47,0.845,186.162,0
Rebel Rouser,Duane Eddy,0.388,0.434,-11.997,0.0354,0.789,0.954,0.728,0.873,206.313,1
"Hallelujah, I Love Her So",Ray Charles,0.696,0.547,-5.954,0.169,0.792,0.0,0.155,0.623,73.203,3
Rip It Up,Little Richard,0.895,0.636,-6.043,0.06,0.672,3.31e-06,0.0207,0.967,95.922,2
Blue Moon,Billie Holiday,0.639,0.269,-11.435,0.0698,0.982,0.12,0.141,0.539,124.866,3
On The Street Where You Live,Vic Damone,0.291,0.312,-10.289,0.0363,0.871,0.0,0.142,0.201,115.077,3
Money (That's What I Want),Barrett Strong,0.656,0.84,-7.349,0.0323,0.342,0.0,0.108,0.954,132.335,2
Hound Dog,Elvis Presley,0.494,0.756,-8.492,0.0499,0.733,0.00505,0.76,0.949,86.895,2
Diana,Paul Anka,0.551,0.576,-8.49,0.0325,0.762,0.0,0.803,0.919,142.814,2
Sweet Little Sixteen,Chuck Berry,0.549,0.521,-10.294,0.0438,0.57,0.0,0.0996,0.939,166.072,2
La Bamba - Single Version,Ritchie Valens,0.516,0.809,-6.419,0.0545,0.787,0.000331,0.303,0.939,75.099,2
Love & Marriage,Frank Sinatra,0.69,0.244,-10.011,0.0364,0.919,0.0,0.218,0.598,110.977,3
Born Too Late,The Poni-Tails,0.501,0.311,-9.62,0.0251,0.672,0.000125,0.174,0.818,85.322,3
Sixteen Tons,Tennessee Ernie Ford,0.693,0.324,-15.085,0.205,0.796,0.0,0.246,0.382,144.14,3
Keep A Knockin,Little Richard,0.335,0.926,-8.763,0.0958,0.0266,3.13e-06,0.0696,0.948,170.467,2
Chances Are - Single Version,Johnny Mathis,0.31,0.254,-12.2,0.0343,0.897,3.25e-06,0.107,0.296,77.512,3
Stupid Cupid,Connie Francis,0.609,0.749,-6.147,0.0363,0.831,1.45e-06,0.039,0.967,135.702,2
I'm A Man,Bo Diddley,0.514,0.539,-15.628,0.0402,0.296,0.0,0.184,0.853,85.368,2
Pennies From Heaven,Louis Prima,0.515,0.408,-11.96,0.194,0.452,0.0,0.0682,0.915,185.767,2
I Only Have Eyes for You,The Flamingos,0.552,0.313,-12.41,0.0296,0.916,0.0017,0.12,0.303,88.554,3
Why Do Fools Fall In Love,Frankie Lymon & The Teenagers,0.43,0.558,-6.549,0.0844,0.534,0.000507,0.0914,0.779,172.756,2
You Belong To Me,Jo Stafford,0.371,0.145,-14.587,0.0315,0.945,0.0,0.112,0.167,68.722,3
Lonely Teardrops,Jackie Wilson,0.524,0.478,-8.894,0.118,0.406,0.0,0.74,0.843,137.133,2
Love Letters In The Sand - Single Version,Pat Boone,0.571,0.196,-13.216,0.0278,0.811,0.0,0.142,0.555,88.728,3
Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,0.386,0.125,-17.695,0.0394,0.921,6.42e-06,0.0919,0.254,147.721,3
Mannish Boy,Muddy Waters,0.598,0.735,-10.882,0.0973,0.44,0.000215,0.681,0.615,111.129,2
Rags To Riches,Tony Bennett,0.398,0.458,-9.131,0.0344,0.87,6.01e-06,0.0895,0.546,77.915,3
Bo Diddley,Bo Diddley,0.809,0.701,-12.484,0.0574,0.176,0.0,0.184,0.563,105.696,2
Mr. Blue,The Fleetwoods,0.374,0.0889,-17.475,0.0356,0.931,6.88e-06,0.111,0.211,96.677,3
Ready Teddy,Little Richard,0.532,0.678,-5.59,0.19,0.673,0.0,0.103,0.971,205.973,2
"See You Later, Alligator",Bill Haley & His Comets,0.664,0.702,-11.841,0.0671,0.313,2.06e-06,0.369,0.737,156.987,2
Somethin' Else,Eddie Cochran,0.625,0.791,-10.428,0.0711,0.198,0.000144,0.0645,0.967,157.413,2
Splish Splash,Bobby Darin,0.645,0.943,-1.526,0.0393,0.385,0.0,0.37,0.965,147.768,2
Red River Rock,Johnny & The Hurricanes,0.371,0.813,-11.397,0.0741,0.0946,0.919,0.272,0.822,153.963,0
Wild One,Jerry Lee Lewis,0.67,0.878,-12.43,0.0491,0.745,0.000602,0.326,0.973,97.598,2
Blue Suede Shoes,Carl Perkins,0.633,0.568,-11.225,0.0323,0.352,6.03e-05,0.154,0.969,84.491,2
Long Tall Sally (The Thing),Little Richard,0.474,0.608,-5.139,0.0825,0.755,0.0,0.0928,0.888,184.694,2
Just In Time - Remastered/1998,Dean Martin,0.509,0.265,-11.918,0.0438,0.652,0.0,0.125,0.587,126.88,3
Papa Loves Mambo,Perry Como,0.674,0.498,-10.07,0.13,0.512,2.05e-06,0.404,0.747,81.075,2
Venus - Bonus Track,Frankie Avalon,0.526,0.488,-12.645,0.0296,0.601,1.31e-05,0.094,0.718,115.194,3
Yakety Yak,The Coasters,0.715,0.669,-9.491,0.128,0.705,0.000732,0.044,0.976,120.789,2
Come Fly With Me - Remastered 1998,Frank Sinatra,0.574,0.338,-11.376,0.042,0.845,0.0,0.165,0.493,67.008,3
At The Hop,Danny & The Juniors,0.405,0.864,-7.642,0.0486,0.662,2.12e-05,0.18,0.888,194.875,2
Fever,Peggy Lee,0.742,0.0899,-19.187,0.158,0.0906,0.0,0.113,0.351,137.473,0
Lonely Boy,Paul Anka,0.623,0.605,-9.923,0.0306,0.352,0.0,0.101,0.804,106.163,2
Only You (And You Alone),The Platters,0.411,0.28,-11.961,0.0285,0.956,0.0,0.12,0.309,80.337,3
Love Is Strange,Mickey & Sylvia,0.629,0.692,-6.466,0.0295,0.658,0.000463,0.0543,0.842,121.808,2
Love Potion No.9,The Clovers,0.734,0.59,-7.807,0.148,0.555,0.0,0.142,0.782,128.817,2
Wonderful! Wonderful! (with Ray Conniff & His Orchestra & Chorus) - Single Version,Johnny Mathis,0.25,0.398,-9.495,0.0301,0.742,4.24e-06,0.0975,0.559,145.178,3
They Can't Take That Away From Me,Ella Fitzgerald,0.563,0.136,-17.402,0.0683,0.87,0.0,0.106,0.368,104.928,3
Teach Me Tonight,Dinah Washington,0.558,0.231,-11.436,0.0812,0.805,0.0,0.142,0.403,73.103,3
Passing Strangers,Sarah Vaughan,0.279,0.315,-10.539,0.0343,0.813,0.0,0.153,0.177,90.799,3
Come Go With Me,The Del-Vikings,0.566,0.534,-9.416,0.0409,0.713,0.0,0.0883,0.582,129.69,3
Your Cheatin' Heart,Hank Williams,0.672,0.243,-11.634,0.0281,0.774,1.79e-05,0.082,0.689,127.716,3
Love Is Here To Stay - Remastered 1998,Frank Sinatra,0.547,0.208,-13.458,0.0334,0.676,0.0,0.1,0.424,108.999,3
Little Bitty Pretty One,Thurston Harris,0.703,0.883,1.085,0.241,0.777,2.02e-06,0.0562,0.887,88.351,2
My Prayer,The Platters,0.359,0.272,-8.393,0.0294,0.812,0.0,0.095,0.254,109.249,3
Oh! Carol,Neil Sedaka,0.584,0.743,-7.039,0.0463,0.766,0.0,0.319,0.815,132.747,2
Misty,Johnny Mathis,0.216,0.267,-13.561,0.0351,0.876,2.7e-05,0.109,0.218,82.098,3
I Wonder Why,Dion & The Belmonts,0.506,0.699,-3.834,0.0348,0.569,0.0,0.158,0.901,103.463,2
I've Got a Woman,Ray Charles,0.556,0.61,-4.729,0.213,0.833,2.22e-06,0.258,0.665,199.373,3
Who's Sorry Now,Connie Francis,0.522,0.326,-6.448,0.0273,0.755,2.26e-05,0.36,0.443,87.535,3
I'm Gonna Get Married,Lloyd Price,0.569,0.514,-9.369,0.0334,0.765,0.0,0.131,0.63,119.518,3
"Hey, Good Lookin'",Hank Williams,0.785,0.365,-9.963,0.0377,0.801,0.0,0.0662,0.913,141.167,3
A Teenager In Love,Dion & The Belmonts,0.555,0.377,-9.123,0.0295,0.671,0.0,0.128,0.619,78.986,3
"Shout, Pts. 1 & 2",The Isley Brothers,0.489,0.866,-7.433,0.0933,0.753,0.0,0.876,0.416,138.63,0
Little Darlin',The Diamonds,0.631,0.587,-11.402,0.042,0.536,0.29,0.333,0.664,152.851,2
Louisiana Blues,Muddy Waters,0.56,0.207,-14.168,0.0399,0.856,0.000363,0.172,0.385,73.919,3
Mess Around,Ray Charles,0.565,0.962,-2.981,0.064,0.437,0.0,0.056,0.906,148.808,2
I Can See Clearly Now,Johnny Nash,0.683,0.53,-8.542,0.0601,0.41,7.43e-05,0.06,0.579,124.392,2
Wild World,Yusuf / Cat Stevens,0.484,0.508,-9.308,0.0364,0.376,0.000791,0.0961,0.554,151.867,0
Easy,Commodores,0.576,0.432,-13.642,0.0314,0.233,0.00135,0.0743,0.348,132.144,0
Hotel California - 2013 Remaster,Eagles,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,0
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0.601,0.532,-9.119,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,0
How Deep Is Your Love,Bee Gees,0.633,0.357,-9.366,0.0264,0.105,0.0,0.133,0.674,104.938,2
Ain't No Stoppin' Us Now - Single Version,McFadden & Whitehead,0.721,0.743,-6.358,0.0525,0.0835,0.0,0.135,0.867,112.504,2
Ain't No Sunshine,Bill Withers,0.527,0.415,-11.451,0.122,0.457,1.72e-05,0.117,0.515,78.169,3
Wonderful Tonight,Eric Clapton,0.572,0.214,-15.625,0.0293,0.649,0.129,0.125,0.485,95.542,3
Maggie May,Rod Stewart,0.605,0.574,-10.536,0.0377,0.559,0.113,0.0684,0.543,129.449,3
You're so Vain,Carly Simon,0.659,0.678,-8.18,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,2
Listen to the Music,The Doobie Brothers,0.645,0.598,-13.18,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,2
Give A Little Bit,Supertramp,0.531,0.818,-5.358,0.0452,0.0694,0.0096,0.263,0.471,90.767,0
Go Your Own Way - 2004 Remaster,Fleetwood Mac,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,135.448,2
Let Your Love Flow,The Bellamy Brothers,0.679,0.553,-14.687,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,2
Tiny Dancer,Elton John,0.414,0.428,-11.097,0.0278,0.382,0.000243,0.148,0.282,145.075,0
Midnight Train to Georgia,Gladys Knight & The Pips,0.595,0.379,-12.058,0.0454,0.271,2.81e-05,0.1,0.448,92.006,2
Cecilia,Simon & Garfunkel,0.755,0.876,-8.867,0.0362,0.357,5.17e-06,0.22,0.954,102.762,2
My Life,Billy Joel,0.741,0.647,-12.878,0.0427,0.108,0.00139,0.0555,0.804,131.097,2
American Pie,Don McLean,0.531,0.481,-11.709,0.06,0.699,0.0,0.0842,0.491,138.45,3
